"_id",tdsAvg,ydsGainAvg
MIN,0.027888446215139442,5.22390438247012
DAL,0.02458366375892149,5.190325138778747
DEN,0.028148148148148148,4.9185185185185185
BAL,0.02514367816091954,5.073994252873563
SF,0.020537124802527645,5.0718799368088465
CIN,0.042275172943889314,5.342813220599539
OAK,0.03355704697986577,5.345264727815064
TB,0.028421839940164548,5.335078534031414
IND,0.026277372262773723,5.118978102189781
NYJ,0.03545586107091172,5.3219971056439945
GB,0.032281205164992825,4.814203730272597
CHI,0.03014318010550113,5.256217030896759
"",0.0,0.0
WAS,0.03490136570561457,5.458270106221548
NE,0.04005826656955572,5.386016023306627
JAC,0.03639120545868082,5.383623957543594
PIT,0.03282442748091603,5.778625954198473
MIA,0.028749028749028748,5.533022533022533
NYG,0.03314121037463977,5.327089337175792
BUF,0.033682634730538924,5.416167664670659
HOU,0.027700831024930747,4.8448753462603875
SD,0.027932960893854747,5.087988826815643
CAR,0.041666666666666664,4.963450292397661
SEA,0.036418816388467376,5.688163884673748
KC,0.03376205787781351,5.302250803858521
DET,0.03073463268365817,5.432533733133433
ATL,0.029542097488921712,5.395864106351551
PHI,0.029166666666666667,4.83125
CLE,0.021402214022140223,5.222878228782288
STL,0.025182778229082048,4.913078797725427
NO,0.036491228070175435,5.261754385964912
ARI,0.04151223128243143,5.873980726464048
TEN,0.03210649960845732,5.169146436961629
